Thailand;Polymers of ethylene (in primary forms);Fair business practices (2 risks);Taxation;The Tax Justice Network has rated this jurisdiction as secretive. The financial secretive score of Thailand is 70 on a scale of 0 ("not secretive") to 100 ("exceptionally secretive"). Financial secrecy facilitates tax abuse, enables money laundering and undermines the human rights of all.
Thailand;Polymers of ethylene (in primary forms);Fair business practices (2 risks);Corruption;According to the Corruption Perceptions Index, the corruption score of Thailand is 35, on a scale of 0 (highly corrupt) to 100 (very clean). This means that the risk of corruption in Thailand is high.Corruption is reportedly a significant problem in Thailand, both within the private and public sectors, but it is mainly found in the intersection between business and government where demands for facilitation payments are widespread.
Thailand;Polymers of ethylene (in primary forms);Human rights & ethics (6 risks);Government influence;Thailand is considered to be "not free" according to the Freedom House Country List. This means that there is an oppressive regime, with regard to political rights and civil liberties.
Thailand;Polymers of ethylene (in primary forms);Human rights & ethics (6 risks);Government influence;After a five-year period in which the military junta was in power, elections were held in 2019 that were and remain heavily influenced by the military. A popular opposition party was dissolved. As a result, large anti-government protests took place. Many people were unjustly detained, intimidated and attacked. The press is censored, fair trials do not take place and attacks on activists go unpunished. Human rights are systematically suppressed.
Thailand;Polymers of ethylene (in primary forms);Human rights & ethics (6 risks);Government influence;Thailand is ranked 115 out of 180 countries in the World Press Freedom Index with a score of 50.15 on a scale from 0 (worst possible score) and 100 (best possible score). This means that press freedom is limited.
Thailand;Polymers of ethylene (in primary forms);Human rights & ethics (6 risks);Community impact;Chemical manufacturing is a large source of pollution worldwide, potentially putting about 3 million people at risk of exposure. Most contaminated chemical manufacturing sites are in China, Eastern Europe and South Asia, but they are likely to be found all over the world.The pollutants found in the largest quantities at chemical manufacturing sites investigated by Pure Earth include pesticides and volatile organic compounds. However, other pollutants found include arsenic, cadmium, cyanide, mercury, chromium and lead.
Thailand;Polymers of ethylene (in primary forms);Human rights & ethics (6 risks);Consumer interests & product safety;Microplastics are near-indestructible and end up in the air and water through for example plastic waste, cosmetic products and through the wear of car tires. Once the microplastics are in the air, they can be inhaled. This can cause various health problems, such as inflammation and shortness of breath, it can make the production of proteins more difficult, have an endocrine disrupting effect and affect the immune system. <br />
Thailand;Polymers of ethylene (in primary forms);Human rights & ethics (6 risks);Consumer interests & product safety;There are various chemicals that are dangerous for humans and the environment because they are, for example, carcinogenic, hinder reproduction, or accumulate in the food chain. These chemicals can be identified with the following European legislation and agreements:<ul>	<li>The list of <a href="https://www.ospar.org/work-areas/hasec/hazardous-substances/priority-action">Chemicals for Priority Action</a> of the OSPAR Commission;</li>	<li>The list of <a href="https://echa.europa.eu/substances-restricted-under-reach">Restricted Substances</a> and the <a href="https://echa.europa.eu/web/guest/candidate-list-table">Candidate List of substances of very high concern</a> under REACH;</li>	<li><a href="https://ec.europa.eu/environment/water/water-framework/priority_substances.htm">Water Framework priority substances</a>;</li>	<li><a href="https://ec.europa.eu/environment/chemicals/international_conventions/index_en.htm">Persistent organic pollutants</a>.</li></ul>
Thailand;Polymers of ethylene (in primary forms);Labour rights (12 risks);Freedom of association;Thailand scores a 5 on the ITUC Global Rights Index (scale 1-5) for freedom of association and workers’ rights, which stands for no guarantee of rights. Countries with the rating of 5 are the worst countries in the world to work in. While the legislation may spell out certain rights, workers have effectively no access to these rights and are therefore exposed to autocratic regimes and unfair labour practices.
Thailand;Polymers of ethylene (in primary forms);Labour rights (12 risks);Freedom of association;Myanmar migrant workers in Thailand are not allowed by Thai law to form or lead trade unions, which means they have little representation at work. Trade unions founded by these migrant workers to represent their interests, such as fair wages, are labeled as illegal.
Thailand;Polymers of ethylene (in primary forms);Labour rights (12 risks);Freedom of association;Research by FORUM-ASIA provides insight into violations against human rights defenders (HRDs). The most common violations are judicial intimidation, arrests, threats, and physical violence. Democracy defenders, women HRDs, and community-based defenders are the most frequently affected. In almost all cases, a state actor is responsible for these violations. Find cases by country and region in the <a href="https://asianhrds.forum-asia.org/">Asian HRDs Portal</a>.
Thailand;Polymers of ethylene (in primary forms);Labour rights (12 risks);Labour conditions (contracts, working hours);Working conditions is an important issue in the chemical industry. Poor working conditions and labour standards can occur in regions with little or no regulation.
Thailand;Polymers of ethylene (in primary forms);Labour rights (12 risks);Child labour;Children in Thailand are engaged in the worst forms of child labor, including in commercial sexual exploitation, sometimes as a result of human trafficking. Child labour occurs in agriculture, apparel industry and tourism. Children may also engage in dangerous tasks in Muay Thai fighting competitions for remuneration.
Thailand;Polymers of ethylene (in primary forms);Labour rights (12 risks);Child labour;According to the latest ILO report, 24.3 million children (6.2 percent) are employed in child labour in East and Southeast Asia.
Thailand;Polymers of ethylene (in primary forms);Labour rights (12 risks);Discrimination & gender;According to research done by Thomson Reuters Foundation, women in Thailand are in danger of human trafficking including forced labour.
Thailand;Polymers of ethylene (in primary forms);Labour rights (12 risks);Discrimination & gender;Although there has been some progress in advancing the rights of LGBT workers in Thailand, LGBT persons still continue to face widespread discrimination at work and in everyday life. In a study conducted by UNDP in 2018, 23% of the LGBTI people interviewed said that they had already experienced difficulties at the beginning of their job search.<strong> </strong>In addition, there are cases in which LGBT persons have experienced violence because of their sexual orientation or gender identity.
Thailand;Polymers of ethylene (in primary forms);Labour rights (12 risks);Discrimination & gender;There is reason to believe that minorities and indigenous communities are faced with discrimination in Thailand.
Thailand;Polymers of ethylene (in primary forms);Labour rights (12 risks);Discrimination & gender;The COVID-19 pandemic showed that women were more affected by the pandemic impact than men, in addition to their social responsibilities. The survey also shows that psychological distress has increased drastically for both women and men.
Thailand;Polymers of ethylene (in primary forms);Labour rights (12 risks);Health & safety at work;In the plastics and rubber industry, high noise levels can occur. This is determined by the construction of the machines, the preparation and the number of machines in the workspace, the design of work and the decoration of the space and the nature of the products manufactured.<br /><br />Prolonged exposure to noise above 80 decibels may cause hearing damage. This hearing loss is permanent. Additional effects may be: elevated blood pressure, fatigue and loss of concentration.
Thailand;Polymers of ethylene (in primary forms);Labour rights (12 risks);Health & safety at work;Chemicals can have significant negative impacts on people’s lives, particularly vulnerable groups such as workers, indigenous and low-income communities: both in their workplaces and in their homes, affecting resources that their communities depend upon.
Thailand;Polymers of ethylene (in primary forms);Environment (11 risks);Climate & energy;The chemical industry makes intensive use of raw materials and energy. A lot of fossil fuels (oil, gas, coal) are used, as well as water, air, metals, palm oil and minerals (including phosphorus).
Thailand;Polymers of ethylene (in primary forms);Environment (11 risks);Biodiversity & deforestation;Microplastics are near-indestructible in natural environments and enter the oceans through litter, when waste such as plastic bags, packaging and other convenience materials are discarded. The global release of microplastics into the ocean is estimated at around 1.5million tonnes per year. Cosmetic products like toothpaste and exfoliating creams contain microbeads which easily enter waterways as these products are washed off after use. Through waterways they end up in oceans.Small fish think that these microbeads and microplastics are food. According to research, some young fish even prefer tiny particles of plastic to their natural food source. Because fish cannot digest plastic they eventually starve to death before they can reproduce. Small fish are food for bigger animals such as other fish, birds and marine mammals so the microplastics end up in their foodchain as well.
Thailand;Polymers of ethylene (in primary forms);Environment (11 risks);Biodiversity & deforestation;The Greater Mekong includes the countries of Cambodia, Laos, Myanmar, Thailand and Vietnam. The region has a high level of biodiversity, but this is threatened by deforestation. Deforestation of the region is caused by industrial agriculture, illegal logging and the construction of infrastructure projects such as roads and dams.
Thailand;Polymers of ethylene (in primary forms);Environment (11 risks);Water use & water availability;In all OECD countries the chemical manufacturing industry is the largest single consumer of water by sector. The large amount of process water used also provides many opportunities for pollutants to be released through wastewater.
Thailand;Polymers of ethylene (in primary forms);Environment (11 risks);Water use & water availability;Parts of Thailand face significant freshwater scarcity all year round.
Thailand;Polymers of ethylene (in primary forms);Environment (11 risks);Air pollution;Microplastics can reach and affect remote, sparsely inhabited areas by wind. Microplastics, which are completely invisible, are near-indestructible in natural environments and can be harmful to oceans and aquatic life. Fragments are travelling through the atmosphere over distances of at least 60 miles.
Thailand;Polymers of ethylene (in primary forms);Environment (11 risks);Air pollution;Air pollution is mainly caused by burning fossil fuels and the emission of harmful substances into the atmosphere, that form new harmful compounds. This can lead to: acidification (acid rain), eutrophication (extreme algae growth), climate chang and affecting the ozone layer.
Thailand;Polymers of ethylene (in primary forms);Environment (11 risks);Soil & (ground)water contamination;The production and processing of chemicals contributes to soil contamination. Industrial water pollution of the global chemicals sector is considered to be very serious. Wastewater treatment often does not remove all pollutants. Chemicals may be toxic to human beings and they may also be damaging to the environment through toxicity to animal and plant species. The origin of these chemical wastes varies greatly and depends on the local situation, but typically discarded chemicals, manufacturing by-products and waste solvents contribute to the waste stream.
Thailand;Polymers of ethylene (in primary forms);Environment (11 risks);Environment & waste (general);Mercury pollution is a problem all over the world, mostly because of small-scale gold mining and vinyl chloride production in South-East Asia and East Asia. One of the main problems with mercury is its persistency. Once it is released into the environment, mercury can circulate through air, land, water and animals for thousands of years. The current levels of mercury in the atmosphere are up to 500% above natural levels. In the oceans, the concentrations of mercury are about 200% above natural levels. Mercury presents the biggest risk in rivers, lakes and oceans where it takes a highly toxic form that is absorbed by animals, including fish.
Thailand;Polymers of ethylene (in primary forms);Environment (11 risks);Environment & waste (general);The disposal of plastic products has considerable consequences for the environment. Most plastics are not biodegradable. They will remain in landfills until being cleared. The size of the land required for landfills is a growing concern throughout the world. Many landfills are still in use and many former landfills are not yet rehabilitated.
Thailand;Polymers of ethylene (in primary forms);Environment (11 risks);Environment & waste (general);A new study, published in the journal Environmental Science &amp; Technology, shows that chemical pollution on Earth has crossed a planetary boundary. This means that the human-caused changes to the Earth due to chemical pollution has pushed the environment out of its stable state. Chemical pollution damages basic and vital biological and physical processes on Earth.
Turkey;Edible products and preparations of food;Fair business practices (3 risks);Taxation;According to OECD, Turkey is only partially compliant with the international standard of transparency and exchange of information for tax purposes. This means that Turkey could be seen as a ‘tax haven’.
Turkey;Edible products and preparations of food;Fair business practices (3 risks);Corruption;According to the Corruption Perceptions Index, the corruption score of Turkey is 38, on a scale of 0 (highly corrupt) to 100 (very clean). This means that the risk of corruption in Turkey is high.
Turkey;Edible products and preparations of food;Fair business practices (3 risks);Corruption;Corruption may occur regularly in Turkey in governmental organizations and business partners, for instance paying bribes, reducing import charges or falsifying official documents. Especially in customs corruption plays a role, but also labour inspectors are supposedly easily bribed. Additionally, when competing for public tenders you may be confronted with corruption.
Turkey;Edible products and preparations of food;Human rights & ethics (7 risks);Government influence;Turkey is considered to be "not free" according to the Freedom House Country List. This means that there is an oppressive regime, with regard to political rights and civil liberties.
Turkey;Edible products and preparations of food;Human rights & ethics (7 risks);Government influence;Turkey's press freedom is poor: it is becoming increasingly difficult for journalists to work freely, they are imprisoned or have their property taken away. There is no guarantee of a fair trial. Maintaining the independence of the press is made more difficult by the Turkish government. Also, a new law seems to restrict freedom of expression on social media.
Turkey;Edible products and preparations of food;Human rights & ethics (7 risks);Government influence;Turkey is ranked 149 out of 180 countries in the World Press Freedom Index with a score of 41.25 on a scale from 0 (worst possible score) and 100 (best possible score). This means that press freedom is limited.
Turkey;Edible products and preparations of food;Human rights & ethics (7 risks);Government influence;Turkey is ranked 117<sup>th</sup> out of 139 countries in the Rule of Law Index with a score of 0.42 on a scale from 0 (worst possible score) and 1 (best possible score). This means that this country performs poorly in the areas of corruption, openness of government and enforcement of regulations around rights, order, security, civil and criminal law.
Turkey;Edible products and preparations of food;Human rights & ethics (7 risks);Government influence;The number of journalists jailed globally because of their work hit a new high in 2020 as governments cracked down on coverage of COVID-19 or tried to suppress reporting on political unrest.
Turkey;Edible products and preparations of food;Human rights & ethics (7 risks);Conflicts & security;The score of Turkey on the Global Peace Index is 2.785 out of 5, which means it scores low in the areas of (inter)national conflict, societal security and militarization.
Turkey;Edible products and preparations of food;Human rights & ethics (7 risks);Conflicts & security;This country is marked as a 'high risk' country for terrorist attacks and political violence on the Aon Terrorism &amp; Political Violence Risk Map. It is considered as level 4 on a 1-5 scale.
